Geneid	Chr	Start	End	Strand	Length	Bas.1	Bas.2	Bas.3	Ferro.3	Gad.1	Gad.2	Gad.3	LaCl.1	LaCl.2	LaCl.3	LaOx.1	LaOx.2	LaOx.3	LaP.1	LaP.2	LaP.3	Lop.1	Lop.2	Lop.3	MinLaCl.1	MinLaCl.2	MinLaCl.3	Mon.1	Mon.2	Mon.3	Xen.1	Xen.2	Xen.3
RHAL1_00001	RHAL1_chromosome	1	1470	+	1470	5459	1475	1736	11296	3317	2661	4803	2107	2527	2133	2223	2004	2897	6530	2509	8242	1220	1369	1406	891	1194	1006	2092	2092	2405	3484	5422	8200
RHAL1_00002	RHAL1_chromosome	1489	2004	+	516	597	78	102	993	270	255	418	210	199	209	211	163	290	392	186	566	109	129	146	66	91	105	144	172	158	240	234	405
RHAL1_00003	RHAL1_chromosome	2001	2621	+	621	1594	517	533	1123	599	585	815	707	628	649	826	678	727	1180	455	1427	755	779	750	411	532	509	682	562	656	480	563	764
RHAL1_00004	RHAL1_chromosome	2797	4608	-	1812	3669	2279	3146	3823	1960	1907	2954	3034	2917	2612	3489	2710	2628	4571	1986	5608	4109	3799	3551	1788	2804	3042	3078	3093	2802	2286	3374	4692
RHAL1_00005	RHAL1_chromosome	4696	4857	-	162	2082	1153	1690	3416	779	558	1164	1499	1448	1447	1420	1289	963	2642	1149	3536	1144	1342	1204	658	750	871	1125	1768	1644	5204	6223	8318
RHAL1_00006	RHAL1_chromosome	5033	6406	+	1374	9174	7688	11424	4290	3874	3223	5408	6220	5519	5197	7227	5979	5105	8959	3316	10796	13438	11424	11530	3991	6427	7586	5965	6566	5366	3963	5516	7886
RHAL1_00007	RHAL1_chromosome	6426	6845	-	420	7258	2400	4967	2408	4742	5135	6905	7362	8015	8672	13866	8307	13611	22734	9117	28733	4134	3948	4222	5800	8521	4940	15710	15062	13478	2870	3202	5158
RHAL1_00008	RHAL1_chromosome	6852	7634	-	783	2117	835	1364	735	1308	1195	1861	2256	2316	1968	3014	2198	2667	5455	1809	7968	2131	2009	1915	1519	2342	1722	3990	4464	2988	1202	1266	1911
RHAL1_00009	RHAL1_chromosome	7746	8189	+	444	6734	2146	4216	11154	5718	6594	8499	5161	6625	5986	9899	7408	10418	29275	10088	31211	2606	2763	3025	4043	6008	4337	16908	18944	14815	3838	6956	9701
RHAL1_00010	RHAL1_chromosome	8209	9168	+	960	2318	873	1344	1829	1462	1700	2149	2342	2274	2453	3299	2359	2988	3611	1454	4970	2037	1923	2040	1050	1724	1538	2447	2291	1970	965	1334	1815
RHAL1_00011	RHAL1_chromosome	9260	9433	+	174	40699	42730	51314	30361	17558	14111	24447	47028	66530	52769	44158	41311	47329	23437	9943	23763	30631	28644	30133	15350	23463	27256	13545	13032	16119	17037	26698	39975
RHAL1_00012	RHAL1_chromosome	9440	10123	-	684	10185	6763	9752	8777	6897	5778	9291	15654	18547	15973	16589	13883	10442	7531	3202	9588	13062	11516	11223	6467	9618	9645	4581	3780	4321	3830	5155	7448
RHAL1_00013	RHAL1_chromosome	10128	10835	-	708	3212	1908	2768	2858	3017	2825	4376	4399	4132	3319	4880	4023	3040	3067	1200	3703	3171	3271	3176	2007	2822	2717	2236	2294	2357	1493	2788	3537
RHAL1_00014	RHAL1_chromosome	10846	11340	-	495	2896	1816	2370	2325	2545	2401	3454	4255	3844	3191	4795	3893	3176	3411	1335	3574	3062	2927	2862	1580	2762	2576	2238	2143	2230	1481	2238	3231
RHAL1_00015	RHAL1_chromosome	11448	12008	-	561	662	574	684	777	457	453	649	802	628	682	1029	578	533	453	189	688	1084	876	870	309	436	449	333	355	278	248	331	442
RHAL1_00016	RHAL1_chromosome	12005	13018	-	1014	3180	2835	3402	3778	2060	1775	2751	3741	3443	2829	4426	3613	2587	2659	1125	3626	4929	3762	3614	1530	2493	2365	2173	2088	1999	1673	2025	2894
RHAL1_00017	RHAL1_chromosome	13025	13747	-	723	17200	17086	24608	27662	11922	9967	16413	24500	30216	24663	26786	23218	15514	14443	5312	22396	25754	23057	23236	9727	15075	14334	10178	10009	10020	13206	17179	25081
RHAL1_00018	RHAL1_chromosome	13868	14335	+	468	16905	15312	15474	5259	7764	6688	10609	14539	13427	12835	16588	12130	10205	8144	3673	11803	25455	21507	22697	6405	12261	10501	6799	5817	5290	3898	5863	8241
RHAL1_00019	RHAL1_chromosome	14332	14937	-	606	1138	594	828	874	705	696	912	662	522	591	796	605	685	808	319	1017	933	798	621	397	586	528	560	526	469	303	514	660
RHAL1_00020	RHAL1_chromosome	14951	15274	-	324	2520	1199	1867	3261	1763	1911	2768	2153	2030	1999	3316	2667	2484	4462	2010	5257	2131	2154	1987	1288	1809	1683	2668	3083	2544	1717	2220	3314
RHAL1_00021	RHAL1_chromosome	15349	16140	-	792	964	765	883	613	529	512	764	1285	1151	809	1336	928	989	915	383	1183	1519	1224	1279	626	1008	922	631	525	544	447	680	885
RHAL1_00022	RHAL1_chromosome	16147	16845	-	699	4129	2283	3685	4722	2066	2125	3159	3872	4142	3747	5244	4373	3017	6395	2728	7356	3710	3645	3466	2010	2952	2968	4622	5940	5488	3939	6401	8880
RHAL1_00023	RHAL1_chromosome	16914	18776	-	1863	8602	6388	8338	5663	4940	4184	6629	12417	11367	10035	13145	11226	7601	10252	4236	14020	15507	13528	12256	6566	9576	9904	6979	7166	6497	4915	7059	9777
RHAL1_00024	RHAL1_chromosome	18925	22221	-	3297	2591	1757	2779	2233	1552	1489	2156	4071	4171	3476	4680	3857	2833	5227	2264	6172	4471	3879	3964	2637	3571	3881	3764	3898	3817	2606	3876	5379
RHAL1_00025	RHAL1_chromosome	22496	23470	+	975	9627	9255	11745	5024	5347	5341	7306	7388	6451	5405	8321	6398	4736	6676	2664	7970	11618	9884	9686	3724	6072	6617	4570	4406	4633	3888	6824	9897
RHAL1_00026	RHAL1_chromosome	23561	23689	+	129	119578	93615	111300	70749	99326	91621	146826	173130	179248	175380	205514	174192	117690	124362	57718	182442	236395	212178	179886	78075	111236	124495	71463	63934	54709	60038	88273	114243
RHAL1_00027	RHAL1_chromosome	23800	24834	+	1035	7459	6629	6878	6738	5142	4643	7673	6970	7698	6825	7483	6225	5540	5847	2538	7431	6365	5699	5036	3490	4729	4418	3808	3529	3439	2933	4304	6202
RHAL1_00028	RHAL1_chromosome	24959	26602	+	1644	5044	4573	6598	21048	3560	3740	6485	6864	7452	8583	10709	9849	6698	13979	5789	14772	7667	6930	5934	3585	5398	5850	7662	10381	9246	6850	23141	28404
RHAL1_00029	RHAL1_chromosome	26630	27922	-	1293	1906	988	1216	2889	1371	1564	2164	2199	1921	1591	2555	2172	2346	3993	1735	4887	2136	1939	1972	1115	1587	1487	2593	2882	2311	1627	2322	3032
RHAL1_00030	RHAL1_chromosome	27923	28348	-	426	360	189	212	196	270	293	469	447	373	385	596	332	390	618	328	920	463	372	549	207	403	251	557	526	438	245	267	376
RHAL1_00031	RHAL1_chromosome	28441	29364	+	924	1367	512	535	382	802	762	1148	1111	846	699	1253	957	1169	2043	859	2476	1239	1279	1263	506	831	871	1400	1365	1018	765	979	1273
RHAL1_00032	RHAL1_chromosome	29369	29998	+	630	767	287	436	607	300	383	556	446	520	450	576	545	666	1034	372	1355	493	575	440	327	462	445	756	834	660	506	812	1123
RHAL1_00033	RHAL1_chromosome	30091	31590	+	1500	6599	1712	3180	9253	2984	2431	4604	1988	1560	1603	2212	1683	1933	5033	1894	6231	1976	2078	2245	962	1421	1342	2297	2892	2702	4020	5895	9066
RHAL1_00034	RHAL1_chromosome	31683	33953	+	2271	6536	3667	5873	13394	3178	2517	4514	3962	3662	3358	4366	3894	3367	5421	1926	6954	5341	4872	5416	2404	3520	3437	3194	3362	3379	3781	5485	7961
RHAL1_00035	RHAL1_chromosome	34095	35555	+	1461	3813	2073	2921	5055	2686	2829	4232	3957	4358	3865	6018	4466	4112	7317	2794	9604	4031	3473	3434	3240	4478	3402	5727	5495	4476	1872	2770	3835
RHAL1_00036	RHAL1_chromosome	36148	36282	-	135	231	246	293	547	145	151	273	216	259	251	358	228	134	470	160	578	337	260	237	215	268	247	311	274	339	302	534	727
RHAL1_00037	RHAL1_chromosome	36476	36832	-	357	312	175	186	617	163	183	254	204	179	247	258	173	167	585	199	726	233	179	180	138	196	211	361	509	389	382	724	959
RHAL1_00038	RHAL1_chromosome	37800	39062	-	1263	1076	702	827	3528	546	630	1003	809	772	767	1049	947	809	2090	806	2249	1015	855	922	439	667	668	1008	1272	1115	1152	2506	3381
RHAL1_00039	RHAL1_chromosome	39494	40612	-	1119	3516	1764	2489	3678	2322	2108	3246	4040	4201	3614	4447	3501	3015	6360	2466	7716	3898	3487	3598	2338	3318	3131	4548	5063	5215	2809	4013	5770
RHAL1_00040	RHAL1_chromosome	41060	42526	-	1467	757	516	691	1602	431	494	741	925	852	734	1113	1056	650	1862	693	2177	1023	934	883	385	561	604	1009	1466	1375	904	2327	2952
RHAL1_00041	RHAL1_chromosome	43048	43941	-	894	834	612	808	2157	503	477	811	789	759	749	1104	920	699	1918	728	2208	1180	1113	1009	448	673	896	1086	1308	1370	1259	2916	3789
RHAL1_00042	RHAL1_chromosome	44064	44402	+	339	111	52	70	137	72	58	95	170	151	133	189	135	149	174	47	262	90	109	113	59	89	95	134	103	108	115	226	285
RHAL1_00043	RHAL1_chromosome	44502	44759	+	258	627	305	486	345	361	382	553	813	1050	682	996	632	717	1006	390	1197	659	466	494	419	494	500	649	549	669	591	887	1255
RHAL1_00044	RHAL1_chromosome	44807	45220	-	414	1347	439	697	627	582	533	925	998	919	731	1067	877	811	1550	611	1714	988	928	881	541	691	779	1062	1002	1044	1026	1497	2445
RHAL1_00045	RHAL1_chromosome	45320	46444	-	1125	1130	524	640	741	610	739	1024	1029	925	1031	1327	891	1065	2353	922	2686	1012	923	1014	769	1032	912	1586	1694	1262	784	1263	1728
RHAL1_00046	RHAL1_chromosome	46676	47167	+	492	11341	12075	15053	4697	6943	7281	10086	12513	11586	8441	16974	14196	6452	8426	3388	9105	19025	14302	10998	9041	12644	13704	6560	6085	5790	3345	4916	7475
RHAL1_00047	RHAL1_chromosome	47214	47759	-	546	2452	1736	2655	2034	1846	1724	2575	3767	3619	3020	4354	3454	2086	2148	981	2924	4620	3758	3178	1936	2581	2906	1456	1164	1115	1513	2289	3021
RHAL1_00048	RHAL1_chromosome	47756	48364	-	609	4077	3257	4030	3310	2674	2418	3684	5326	6140	5621	6924	5430	3695	2602	1354	3797	6799	5923	5214	2450	3457	4244	2089	1675	1815	2342	3109	4683
RHAL1_00049	RHAL1_chromosome	48473	49531	-	1059	2502	1092	1837	1861	1251	1001	1721	1771	1519	1422	1866	1699	1025	1792	750	2533	2812	2381	2343	1190	1746	1747	1226	1258	1129	1257	1608	2365
RHAL1_00050	RHAL1_chromosome	49732	50028	+	297	16837	7839	9680	4438	6935	6530	11391	6662	6354	6349	7139	5445	6217	21957	9718	22318	11127	10437	10854	3859	6987	6494	11553	15474	11520	12360	17507	26316
RHAL1_00051	RHAL1_chromosome	50080	50511	-	432	1100	730	910	1109	603	463	821	936	855	749	871	758	748	1116	492	1455	806	849	707	427	625	645	787	957	665	747	1164	1645
RHAL1_00052	RHAL1_chromosome	50637	51362	+	726	1263	709	1055	1027	615	645	895	1080	1100	1021	1222	1040	783	863	420	1459	1474	1318	1244	678	950	1057	826	626	765	656	983	1260
RHAL1_00053	RHAL1_chromosome	51366	52292	-	927	3631	2234	2684	2835	1735	1747	2842	2161	1763	1781	2544	1841	2056	2376	1022	3158	2646	2294	2276	932	1362	1128	1428	1392	1197	1394	1930	2668
RHAL1_00054	RHAL1_chromosome	52289	52663	-	375	2340	1760	1954	2329	1560	1356	2405	1642	1636	1548	1789	1703	1597	1994	846	2805	2228	1894	1764	674	905	972	1150	1186	1013	934	1547	2114
RHAL1_00055	RHAL1_chromosome	52737	55469	-	2733	55675	44760	57215	48695	37023	33691	52507	74917	76104	61692	87152	72128	52155	87466	34570	107244	101781	87986	79051	40366	62522	59503	57227	58140	54027	36752	60928	87215
RHAL1_00056	RHAL1_chromosome	55559	56254	-	696	5302	3097	4666	2599	3065	2934	4463	6320	5702	5090	7756	6828	3986	6169	2307	8987	10658	9593	9527	3815	5868	5905	5197	6152	4181	4139	4918	6399
RHAL1_00057	RHAL1_chromosome	56285	57901	-	1617	7901	6132	5949	5413	4849	4231	6587	6710	6063	4958	6899	6003	4684	6959	2735	8160	7088	6325	5874	3744	5330	5021	4855	4708	4554	4543	6451	9315
RHAL1_00058	RHAL1_chromosome	57973	58704	-	732	3758	2222	2375	1458	2058	1696	2542	2097	1515	1712	2432	2061	1340	1975	821	2475	3069	2616	2780	1084	1867	1619	1535	1615	1219	1288	1828	2530
RHAL1_00059	RHAL1_chromosome	59082	60377	+	1296	6013	1915	2548	5060	3560	3171	5120	3521	3589	3145	4075	3318	4814	8058	3185	9948	2963	3194	3232	1587	2551	2461	4454	5054	4286	2170	3505	5340
RHAL1_00060	RHAL1_chromosome	60374	61324	-	951	3855	1596	2688	2271	2543	2415	3376	3992	4188	3340	5941	4233	3609	8816	3164	10665	3416	2993	2884	3218	4492	3625	6879	7396	5466	2076	2809	4457
RHAL1_00061	RHAL1_chromosome	61507	62223	+	717	1512	680	881	2375	857	941	1170	1056	1010	895	1323	1052	901	2576	929	2639	1247	1123	984	722	885	976	1410	1690	1467	1459	2347	3009
RHAL1_00062	RHAL1_chromosome	62256	63344	-	1089	9021	7164	10197	11380	5572	5458	7854	10569	13653	11451	10844	9937	6459	8814	3465	11503	9100	8486	7621	5326	6954	7100	5088	5325	5472	6266	8522	12223
RHAL1_00063	RHAL1_chromosome	63506	63967	+	462	20321	17288	20027	16408	16606	14312	20870	27360	29995	23353	29424	24531	16330	10027	4109	14170	27278	23744	22374	12004	18030	16279	7662	7056	6946	5948	9108	12981
RHAL1_00064	RHAL1_chromosome	63971	64351	-	381	44230	38177	44081	23098	46374	34342	55896	44655	46562	53571	63625	50549	36757	14810	6771	30380	66553	63792	53290	20591	34793	29115	13368	11254	11374	8358	11980	19302
RHAL1_00065	RHAL1_chromosome	64391	65302	-	912	1895	1263	2097	1783	955	1019	1553	1940	2449	1891	2731	2233	1574	3168	1191	4307	2021	2052	1813	1385	2032	1645	2001	2429	2127	1584	2143	2833
RHAL1_00066	RHAL1_chromosome	65362	66087	-	726	363	235	287	352	248	213	294	418	303	294	472	332	301	478	182	608	369	352	406	193	360	301	357	316	320	206	333	499
RHAL1_00067	RHAL1_chromosome	66084	66716	-	633	199	99	172	55	104	73	132	158	173	143	171	162	137	143	51	303	362	305	328	179	183	245	139	135	117	122	104	136
RHAL1_00068	RHAL1_chromosome	66713	67129	-	417	317	105	167	111	146	204	231	214	173	179	301	275	262	453	205	552	268	222	205	107	215	174	327	325	274	170	234	446
RHAL1_00069	RHAL1_chromosome	67475	68080	+	606	9674	6920	9214	11874	5748	4924	8265	7175	8036	6583	7270	6007	6316	8030	2972	10850	7934	8005	7454	3399	5747	5261	4467	5134	4642	4752	8222	11565
RHAL1_00070	RHAL1_chromosome	68071	68622	+	552	3051	1840	2358	2907	2113	1947	3282	3012	3133	2673	3716	2975	2921	4822	2017	5945	2996	2858	2916	1675	2737	2135	3576	3588	2807	1958	3093	4045
RHAL1_00071	RHAL1_chromosome	68639	68881	-	243	1486	444	1029	701	977	1103	1427	1898	2457	2059	3346	2373	2467	6968	2253	7750	848	902	817	1914	2686	1445	5531	4822	3743	608	852	1079
RHAL1_00072	RHAL1_chromosome	68935	69909	-	975	262	90	127	149	175	135	210	264	206	183	275	200	136	267	120	416	358	375	289	167	251	207	197	130	148	141	113	256
RHAL1_00073	RHAL1_chromosome	69906	71231	-	1326	514	211	276	383	311	294	417	593	658	574	664	577	573	626	251	980	848	713	764	502	520	577	465	394	373	919	259	342
