locus_tag	length	genes	EC	product [prokka]	KO	product [KEGG, based on BlastKOALA]	annotation [KEGG, official KEGG annotation of AL1]	Bas.1	Bas.2	Bas.3	Flint.2	Gad.1	Gad.2	Gad.3	LaCl.1	LaCl.2	LaCl.3	LaOx.1	LaOx.2	LaOx.3	LaP.1	LaP.2	LaP.3	Lop.1	Lop.2	Lop.3	MinLaCl.1	MinLaCl.2	MinLaCl.3	Mon.1	Mon.2	Mon.3	Xen.1	Xen.2	Xen.3
RHAL1_00001	1470	dnaA	 	Chromosomal replication initiator protein DnaA	K02313	chromosomal replication initiator protein	K02313 chromosomal replication initiator protein 	7.36225357630742	6.47440829405595	6.23626778502554	8.57380850509388	7.30641077954532	7.09672958638188	7.33641662868904	6.2078778332716	6.5150440613873	6.45699666267584	6.03958600898421	6.19125536492492	6.87183523546412	7.36126770334653	7.35437597976472	7.37323402960544	5.30246842787532	5.59982983674731	5.669418088366	5.77701888637586	5.65798890890731	5.5029511191364	6.31590478840115	6.27240170224077	6.6176360400034	7.52391643838452	7.62200683532011	7.72983127031289
RHAL1_00002	516	ruvC	3.1.22.4	component of RuvABC resolvasome, endonuclease	K01159	crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]	K01159 crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10] 	4.17469926429911	2.25467619067448	2.16967198321104	5.06884082856066	3.69516154561916	3.72067757983404	3.82097525408734	2.89414873115134	2.8620627513713	3.11684176833245	2.65780067233171	2.58773957844553	3.55957922220164	3.31325081955242	3.60877072219811	3.51782821107827	1.84532580104692	2.21317637078267	2.41986911815295	2.04628729167629	1.96962296754105	2.26286217552517	2.47319461527703	2.68334865641246	2.70498885787247	3.67210478997305	3.09973887211886	3.3998573686085
RHAL1_00003	621	ruvA	3.6.4.12	Holliday junction ATP-dependent DNA helicase RuvA	K03550	holliday junction DNA helicase RuvA [EC:3.6.4.12]	K03550 holliday junction DNA helicase RuvA [EC:5.6.2.4] 	5.58784240196132	4.96415467433925	4.53590395972672	5.24596453273247	4.84021968930566	4.91403741763132	4.78058454953896	4.63532940783817	4.50998360906358	4.74318171498636	4.61403658601028	4.63058723292482	4.88002362512887	4.89591515544204	4.89414684323989	4.8462997555063	4.61180255205413	4.78807047342273	4.76461931390666	4.6630059577958	4.49431531563588	4.52235743051057	4.70163603617049	4.37991941978414	4.746265229888	4.66790721778495	4.35906258855065	4.31074302901259
RHAL1_00004	1812	 	 	Peptidase M24	K01262	Xaa-Pro aminopeptidase [EC:3.4.11.9]	K01262 Xaa-Pro aminopeptidase [EC:3.4.11.9] 	6.7893206009607	7.10167023606516	7.0933840855081	7.01132169780519	6.54785274227241	6.61637456231876	6.63556444850028	6.7334668477178	6.72194756277013	6.74904451602996	6.6893020884779	6.62628468654617	6.7313342152624	6.84697303303368	7.01730108854632	6.81802861212211	7.05246956105326	7.07091702569304	7.00477799666051	6.78089031416665	6.88845674894154	7.09776294553859	6.8725854278653	6.83607822774783	6.83790191438977	6.91630146091916	6.93797092080244	6.92478668249358
RHAL1_00005	162	 	 	Flp/Fap pilin component	K02651	pilus assembly protein Flp/PilA	K02651 pilus assembly protein Flp/PilA 	5.97263998303953	6.11942143187363	6.19756266460754	6.84902315818676	5.21842478340286	4.84603740597854	5.29363748148502	5.71727413030265	5.7125503785167	5.89775415872978	5.39388732851498	5.55543605817925	5.2847144558642	6.05677126503997	6.22841503208926	6.15321538428258	5.20985420631421	5.57113639172095	5.44600910862032	5.34037092950757	4.98840090375071	5.29543062677911	5.42209941958503	6.02989043622734	6.06931307353313	8.10260086291515	7.82072214500815	7.75043690449618
RHAL1_00006	1374	 	6.3.2.2	Glutamate--cysteine ligase	K01919	glutamate--cysteine ligase [EC:6.3.2.2]	K01919 glutamate--cysteine ligase [EC:6.3.2.2] 	8.11090476546276	8.85533015218695	8.95329426569054	7.17750397470045	7.53025865436276	7.37302912677283	7.50750200123057	7.76864586362279	7.64139172944809	7.74107444987428	7.73934972242676	7.76730451806313	7.68879183260434	7.81734620502108	7.75654858603602	7.7625120579849	8.76136978898676	8.65876270972322	8.70329731674705	7.93875735325251	8.08460734418874	8.41561478801425	7.82667290738947	7.92159135072518	7.77484560603852	7.70969460267128	7.64679493494146	7.67352111431737
RHAL1_00007	420	 	 	protein of unknown function			no KO assigned 	7.77302794953164	7.17626449125399	7.75195325013071	6.34493854203043	7.8218245474253	8.04474917091742	7.85992094187442	8.01175301847625	8.17952068247711	8.47955998618671	8.67919313508706	8.24159040105793	9.10325833593062	9.16050105039328	9.21534930256286	9.17441656897748	7.06121575103045	7.12638930731957	7.25434696789799	8.47792413168176	8.49138788373739	7.79695406644295	9.22347003580353	9.11916942205131	9.10323938319286	7.24434676046161	6.86253106872717	7.06131598048185
RHAL1_00008	783	rsmE	2.1.1.193	Ribosomal RNA small subunit methyltransferase E	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	K09761 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193] 	5.99666305063108	5.65446226072014	5.88873100602797	4.63590848452784	5.96493082800233	5.94272911685674	5.96960375875103	6.30635910643302	6.38936009277029	6.34094489509856	6.47833108356327	6.32443516530889	6.75257205761233	7.10189197660578	6.88270858127943	7.32447937715653	6.10595984968397	6.15248285390092	6.11460770089193	6.54583752631264	6.62888938791263	6.27742582543822	7.24677248915707	7.36512114365057	6.93056695835296	5.98971058211015	5.52523876410123	5.63019079762426
RHAL1_00009	444	 	 	hypothetical protein			no KO assigned 	7.66495762827619	7.01496760554826	7.51554167136787	8.555561257674	8.09175888802505	8.40544924094061	8.15948635746001	7.49948245918342	7.90481594637675	7.94492183349689	8.1931006299195	8.07638978987624	8.71762315989911	9.52527695218765	9.3613410992888	9.29374783544577	6.39598353037184	6.6118308551516	6.77363245602805	7.95742767648421	7.98737413710109	7.60920727314652	9.32948020676736	9.44995767962095	9.23967404401758	7.66347297196633	7.98132002445321	7.97226294285653
RHAL1_00010	960	 	 	4-hydroxybenzoate polyprenyltransferase	K03179	4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]	K03179 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39] 	6.1273772236331	5.71857536830292	5.86744733791131	5.9485743230114	6.12533138484708	6.45073707753397	6.17696264155796	6.36028353231375	6.36298063746785	6.65850124553668	6.60857690257437	6.42632819010492	6.91642791166283	6.50710839312439	6.5677645173319	6.64390968418759	6.04094682799361	6.08943123210272	6.20573796264772	6.01361575207522	6.18729508442298	6.11456098456892	6.54184143184315	6.40337622804359	6.33003504048046	5.67328747316224	5.60060174390114	5.55594667953344
