locus_tag,length,genes,EC,product [prokka],KO,product [KEGG],annotation [KEGG GENES ]
RHAL1_00001,1470,dnaA, ,Chromosomal replication initiator protein DnaA,K02313,chromosomal replication initiator protein,K02313 chromosomal replication initiator protein 
RHAL1_00002,516,ruvC,3.1.22.4,"component of RuvABC resolvasome, endonuclease",K01159,crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4],K01159 crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10] 
RHAL1_00003,621,ruvA,3.6.4.12,Holliday junction ATP-dependent DNA helicase RuvA,K03550,holliday junction DNA helicase RuvA [EC:3.6.4.12],K03550 holliday junction DNA helicase RuvA [EC:5.6.2.4] 
RHAL1_00004,1812, , ,Peptidase M24,K01262,Xaa-Pro aminopeptidase [EC:3.4.11.9],K01262 Xaa-Pro aminopeptidase [EC:3.4.11.9] 
RHAL1_00005,162, , ,Flp/Fap pilin component,K02651,pilus assembly protein Flp/PilA,K02651 pilus assembly protein Flp/PilA 
RHAL1_00006,1374, ,6.3.2.2,Glutamate--cysteine ligase,K01919,glutamate--cysteine ligase [EC:6.3.2.2],K01919 glutamate--cysteine ligase [EC:6.3.2.2] 
RHAL1_00007,420, , ,protein of unknown function,,,no KO assigned 
RHAL1_00008,783,rsmE,2.1.1.193,Ribosomal RNA small subunit methyltransferase E,K09761,16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193],K09761 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193] 
RHAL1_00009,444, , ,hypothetical protein,,,no KO assigned 
RHAL1_00010,960, , ,4-hydroxybenzoate polyprenyltransferase,K03179,4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39],K03179 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39] 
RHAL1_00011,174, , ,hypothetical protein,,,no KO assigned 
RHAL1_00012,684, , ,hypothetical protein,,,no KO assigned 
RHAL1_00013,708,msrA_1,1.8.4.11,Peptide methionine sulfoxide reductase MsrA 2,K07304,peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11],K07304 peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11] 
